All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : MH232.fasta
SeqY filename        : MH7422.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|525903163|ref|NC_021831.1|
SeqX length          : 892758
SeqY length          : 898495
Min.fragment.length  : 100
Min.Identity         : 65
Tot Hits (seeds)     : 15310
Tot Hits (seeds) used: 1994
Total fragments      : 442
========================================================
Total frags      : 353
x========================================================
